year,ML refereed,ML non refereed,all refereed,all non refereed
2000,0,2,20006,28963
2001,2,7,19993,32548
2002,0,6,20510,33381
2003,0,6,22275,35031
2004,6,7,22340,38326
2005,4,11,24839,38281
2006,7,8,25710,41629
2007,13,7,23828,36330
2008,10,26,26725,41904
2009,12,21,28165,36404
2010,13,20,25903,44230
2011,10,22,27339,38663
2012,29,49,27875,42452
2013,27,42,27289,35291
2014,40,73,26616,41266
2015,61,93,27883,39072
2016,78,115,27547,36744
2017,81,202,27776,37261
2018,154,209,28814,36278
2019,245,385,28454,36515
2020,322,429,29129,32255
