year,ML,Milky Way,exoplanet,gravitational wave,photometric redshift,galaxy classification,star/galaxy,lensing,transient,Sun,total
2010,14,1,0,0,1,0,0,0,1,4,7.0
2011,13,3,0,0,2,1,0,2,0,2,10.0
2012,30,3,1,0,3,1,1,2,3,4,18.0
2013,27,2,0,3,3,0,0,0,5,6,19.0
2014,40,6,0,1,4,1,1,2,4,7,26.0
2015,69,9,2,4,7,1,5,4,9,16,57.0
2016,82,9,5,2,17,3,4,5,8,15,68.0
2017,94,10,2,6,12,4,3,10,9,17,73.0
2018,173,23,9,7,13,5,5,12,13,41,128.0
2019,280,22,14,14,15,5,7,25,26,63,191.0
2020,366,18,17,27,15,7,6,14,21,99,224.0
