year,earth,solar,exoplanet,galaxy,cosmology,gravitational waves,high energy,ism,sun,asteroids,binaries,galaxies,gravitational lensing,large-scale structure,stars,supernovae,quasars,pulsar,planets and satellites,sun_total,exoplanets_total
2010,1,5,0,1,4,0,0,1,3,0,0,7,0,1,2,0,0,0,0,8,0
2011,0,0,0,1,4,0,1,3,0,0,0,2,0,0,1,0,1,0,0,0,0
2012,2,3,0,0,6,0,2,0,0,0,0,13,0,1,9,1,1,1,0,3,0
2013,0,3,0,1,6,0,4,0,6,0,1,16,0,1,10,1,2,1,0,9,0
2014,1,6,0,1,12,1,5,1,0,0,1,21,2,0,9,1,1,3,0,6,0
2015,2,16,0,5,22,0,8,6,8,1,3,27,3,2,12,4,2,1,1,24,1
2016,8,12,1,2,27,0,6,3,3,1,2,56,0,5,28,5,3,4,5,15,6
2017,9,11,1,7,20,1,7,9,15,2,4,53,4,2,21,4,2,1,2,26,3
2018,23,32,0,11,30,2,18,16,8,3,5,118,4,7,50,1,9,5,8,40,8
2019,26,45,3,18,65,2,42,21,13,3,5,173,9,9,40,6,10,2,17,58,20
2020,37,84,7,21,77,4,47,23,17,1,5,157,10,9,55,12,7,11,6,101,13
